,@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,pubmed-id,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:isbn
10,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85102574777', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85102574777?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85102574777&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85102574777&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85102574777,SCOPUS_ID:85102574777,2-s2.0-85102574777,The spread of the covid-19 outbreak in brazil: An overview by kohonen self-organizing map networks,Galvan D.,Medicina (Lithuania),1010660X,16489144,57,3,1-19,2021-03-01,March 2021,10.3390/medicina57030235,,4,"[{'@_fa': 'true', 'affilname': 'Universidade Federal do Rio de Janeiro', 'affiliation-city': 'Rio de Janeiro', 'affiliation-country': 'Brazil'}, {'@_fa': 'true', 'affilname': 'Technological Development Support Laboratory (LADETEC)', 'affiliation-city': 'Rio de Janeiro', 'affiliation-country': 'Brazil'}, {'@_fa': 'true', 'affilname': 'Carlos Chagas Filho Foundation for Supporting Research in the State of Rio de Janeiro (FAPERJ)', 'affiliation-city': 'Rio de Janeiro', 'affiliation-country': 'Brazil'}]",33802471,Journal,ar,Article,235,51878,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",
11,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85100533991', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85100533991?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85100533991&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100533991&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85100533991,SCOPUS_ID:85100533991,2-s2.0-85100533991,Detection of Sociolinguistic Features in Digital Social Networks for the Detection of Communities,Puertas E.,Cognitive Computation,18669956,18669964,13,2,518-537,2021-03-01,March 2021,10.1007/s12559-021-09818-9,,0,"[{'@_fa': 'true', 'affilname': 'Universidad Tecnológica de Bolívar', 'affiliation-city': 'Cartagena', 'affiliation-country': 'Colombia'}, {'@_fa': 'true', 'affilname': 'Pontificia Universidad Javeriana', 'affiliation-city': 'Bogota', 'affiliation-country': 'Colombia'}]",,Journal,ar,Article,,19400158515,0,False,,,
12,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85101674301', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85101674301?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85101674301&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85101674301&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85101674301,SCOPUS_ID:85101674301,2-s2.0-85101674301,Impact of the Covid-19 pandemic on perinatal mental health (Riseup-PPD-COVID-19): protocol for an international prospective cohort study,Motrico E.,BMC public health,,14712458,21,1,368,2021-02-17,17 February 2021,10.1186/s12889-021-10330-w,,2,"[{'@_fa': 'true', 'affilname': 'Universidad Loyola Andalucia', 'affiliation-city': 'Cordoba', 'affiliation-country': 'Spain'}]",33596889,Journal,ar,Article,,19621,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",
13,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85081919401', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85081919401?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081919401&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081919401&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0890856720300071'}",https://api.elsevier.com/content/abstract/scopus_id/85081919401,SCOPUS_ID:85081919401,2-s2.0-85081919401,Identifying Adolescents at Risk for Depression: A Prediction Score Performance in Cohorts Based in 3 Different Continents,Rocha T.B.M.,Journal of the American Academy of Child and Adolescent Psychiatry,08908567,15275418,60,2,262-273,2021-02-01,February 2021,10.1016/j.jaac.2019.12.004,S0890856720300071,11,"[{'@_fa': 'true', 'affilname': 'Hospital de Clinicas de Porto Alegre', 'affiliation-city': 'Porto Alegre', 'affiliation-country': 'Brazil'}, {'@_fa': 'true', 'affilname': 'Universidade Federal do Rio Grande do Sul', 'affiliation-city': 'Porto Alegre', 'affiliation-country': 'Brazil'}]",31953186,Journal,ar,Article,,17643,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",
14,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85117208191', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85117208191?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85117208191&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117208191&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85117208191,SCOPUS_ID:85117208191,2-s2.0-85117208191,Analytics and Lean Health Care to Address Nurse Care Management Challenges for Inpatients in Emerging Economies,Moreno-Fergusson M.E.,Journal of Nursing Scholarship,15276546,15475069,,,,2021-01-01,2021,10.1111/jnu.12711,,0,"[{'@_fa': 'true', 'affilname': 'Universidad de La Sabana', 'affiliation-city': 'Chía', 'affiliation-country': 'Colombia'}]",,Journal,ar,Article,,28237,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",
15,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85115283667', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85115283667?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115283667&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115283667&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85115283667,SCOPUS_ID:85115283667,2-s2.0-85115283667,Machine learning analysis to predict health outcomes among emergency department users in southern brazil: A protocol study,Nunes B.P.,Revista Brasileira de Epidemiologia,1415790X,,24,,,2021-01-01,2021,10.1590/1980-549720210050,,0,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Pelotas', 'affiliation-city': 'Pelotas', 'affiliation-country': 'Brazil'}]",34468543,Journal,ar,Article,E210050,4600151502,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
16,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85114240909', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85114240909?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85114240909&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114240909&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85114240909,SCOPUS_ID:85114240909,2-s2.0-85114240909,The enigmatic covid-19 vulnerabilities and the invaluable artificial intelligence (ai),Lainjo B.,Journal of Multidisciplinary Healthcare,,11782390,14,,2361-2372,2021-01-01,2021,10.2147/JMDH.S321751,,0,"[{'@_fa': 'true', 'affilname': 'Cybermatic International', 'affiliation-city': 'Montreal', 'affiliation-country': 'Canada'}]",,Journal,re,Review,,19700175822,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",
17,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85107439898', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85107439898?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107439898&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107439898&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85107439898,SCOPUS_ID:85107439898,2-s2.0-85107439898,Field of practice: lariisa: Smart digital solutions to support decision-making in family health strategy management,Costa Filho R.V.,Ciencia e Saude Coletiva,14138123,16784561,26,5,1701-1712,2021-01-01,2021,10.1590/1413-81232021265.03382021,,0,"[{'@_fa': 'true', 'affilname': 'Instituto Federal de Educação, Ciência e Tecnologia do Ceará, Aracati', 'affiliation-city': 'Aracati', 'affiliation-country': 'Brazil'}]",34076112,Journal,ar,Article,,4700151729,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
18,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85107424075', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85107424075?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107424075&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107424075&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85107424075,SCOPUS_ID:85107424075,2-s2.0-85107424075,National covid-19 vaccination plan: Using artificial spatial intelligence to overcome challenges in brazil,Rocha T.A.H.,Ciencia e Saude Coletiva,14138123,16784561,26,5,1885-1898,2021-01-01,2021,10.1590/1413-81232021265.02312021,,0,"[{'@_fa': 'true', 'affilname': 'Duke University', 'affiliation-city': 'Durham', 'affiliation-country': 'United States'}]",34076129,Journal,ar,Article,,4700151729,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
19,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85103145357', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85103145357?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103145357&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103145357&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85103145357,SCOPUS_ID:85103145357,2-s2.0-85103145357,An analysis of the development of digital health technologies to fight COVID-19 in Brazil and the world,Celuppi I.C.,Cadernos de Saude Publica,0102311X,16784464,37,3,,2021-01-01,2021,10.1590/0102-311X00243220,,0,"[{'@_fa': 'true', 'affilname': 'Universidade Federal da Fronteira Sul', 'affiliation-city': 'Chapeco', 'affiliation-country': 'Brazil'}, {'@_fa': 'true', 'affilname': 'Universidade Federal de Santa Catarina', 'affiliation-city': 'Florianopolis', 'affiliation-country': 'Brazil'}]",33729283,Journal,ar,Article,e00243220,20135,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
20,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85091665327', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85091665327?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091665327&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091665327&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0167494320302065'}",https://api.elsevier.com/content/abstract/scopus_id/85091665327,SCOPUS_ID:85091665327,2-s2.0-85091665327,The use of Bayesian network models to identify factors related to frailty phenotype and health outcomes in middle-aged and older persons,da Cunha Leme D.E.,Archives of Gerontology and Geriatrics,01674943,18726976,92,,,2021-01-01,January - February 2021,10.1016/j.archger.2020.104212,S0167494320302065,0,"[{'@_fa': 'true', 'affilname': 'Universidade Estadual de Campinas', 'affiliation-city': 'Campinas', 'affiliation-country': 'Brazil'}]",33007708,Journal,ar,Article,104212,28541,1,True,{'value': 'all'},{'value': 'All Open Access'},
21,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85089787336', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85089787336?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089787336&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089787336&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85089787336,SCOPUS_ID:85089787336,2-s2.0-85089787336,Lockdown to contain COVID-19 is a window of opportunity to prevent the second wave,Wilder-Smith A.,Journal of Travel Medicine,11951982,17088305,27,5,1-3,2021-01-01,2021,10.1093/JTM/TAAA091,,15,"[{'@_fa': 'true', 'affilname': 'London School of Hygiene &amp; Tropical Medicine', 'affiliation-city': 'London', 'affiliation-country': 'United Kingdom'}, {'@_fa': 'true', 'affilname': 'National University of Singapore', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}, {'@_fa': 'true', 'affilname': 'Universität Heidelberg', 'affiliation-city': 'Heidelberg', 'affiliation-country': 'Germany'}]",32478396,Journal,re,Review,,16442,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}",
22,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85089896434', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85089896434?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089896434&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089896434&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0167923620301536'}",https://api.elsevier.com/content/abstract/scopus_id/85089896434,SCOPUS_ID:85089896434,2-s2.0-85089896434,Improving healthcare access management by predicting patient no-show behaviour,Barrera Ferro D.,Decision Support Systems,01679236,,138,,,2020-11-01,November 2020,10.1016/j.dss.2020.113398,S0167923620301536,2,"[{'@_fa': 'true', 'affilname': 'Southampton Business School', 'affiliation-city': 'Southampton', 'affiliation-country': 'United Kingdom'}, {'@_fa': 'true', 'affilname': 'Pontificia Universidad Javeriana', 'affiliation-city': 'Bogota', 'affiliation-country': 'Colombia'}]",,Journal,ar,Article,113398,21933,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",
23,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85092944337', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85092944337?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092944337&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092944337&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85092944337,SCOPUS_ID:85092944337,2-s2.0-85092944337,Spatial epidemiology of yellow fever: Identification of determinants of the 2016-2018 epidemics and at-risk areas in brazil,de Thoisy B.,PLoS Neglected Tropical Diseases,19352727,19352735,14,10,1-22,2020-10-01,October 2020,10.1371/journal.pntd.0008691,,6,"[{'@_fa': 'true', 'affilname': 'Institut Pasteur de la Guyane', 'affiliation-city': 'Cayenne', 'affiliation-country': 'French Guiana'}]",33001982,Journal,ar,Article,e0008691,11900154404,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
