,@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,prism:issueIdentifier,freetoread,freetoreadLabel,pubmed-id,prism:isbn
10,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85096656152', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85096656152?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096656152&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096656152&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85096656152,SCOPUS_ID:85096656152,2-s2.0-85096656152,Genome-enabled prediction of reproductive traits in Nellore cattle using parametric models and machine learning methods,Alves A.A.C.,Animal Genetics,02689146,13652052,52,32-46,2021-02-01,February 2021,10.1111/age.13021,,0,"[{'@_fa': 'true', 'affilname': 'Universidade Estadual Paulista ""Júlio de Mesquita Filho""', 'affiliation-city': 'Sao Paulo', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,,21697,0,False,1,,,33191532,
11,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85114726912', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85114726912?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85114726912&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114726912&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85114726912,SCOPUS_ID:85114726912,2-s2.0-85114726912,"Genetic and phenotypic characterization of rice grain quality traits to define research strategies for improving rice milling, appearance, and cooking qualities in Latin America and the Caribbean",Cruz M.,Plant Genome,,19403372,,,2021-01-01,2021,10.1002/tpg2.20134,,0,"[{'@_fa': 'true', 'affilname': 'Centro Internacional de Agricultura Tropical', 'affiliation-city': 'Cali', 'affiliation-country': 'Colombia'}]",Journal,ar,Article,,21100256980,1,True,,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,
12,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85088973886', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85088973886?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088973886&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088973886&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85088973886,SCOPUS_ID:85088973886,2-s2.0-85088973886,Present and future of the critically endangered Araucaria angustifolia due to climate change and habitat loss,Marchioro C.A.,Forestry,0015752X,14643626,93,401-410,2021-01-01,2021,10.1093/FORESTRY/CPZ066,,8,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Santa Catarina', 'affiliation-city': 'Florianopolis', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,,22250,0,False,3,,,,
13,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85090556948', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85090556948?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090556948&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090556948&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0168169920319839'}",https://api.elsevier.com/content/abstract/scopus_id/85090556948,SCOPUS_ID:85090556948,2-s2.0-85090556948,A cyber-physical intelligent agent for irrigation scheduling in horticultural crops,Jimenez A.F.,Computers and Electronics in Agriculture,01681699,,178,,2020-11-01,November 2020,10.1016/j.compag.2020.105777,S0168169920319839,4,"[{'@_fa': 'true', 'affilname': 'Universidad de los Llanos', 'affiliation-city': None, 'affiliation-country': 'Colombia'}, {'@_fa': 'true', 'affilname': 'Universidad Nacional de Colombia', 'affiliation-city': 'Bogota', 'affiliation-country': 'Colombia'}]",Journal,ar,Article,105777,30441,0,False,,,,,
14,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85089561451', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85089561451?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089561451&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089561451&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0168169920314034'}",https://api.elsevier.com/content/abstract/scopus_id/85089561451,SCOPUS_ID:85089561451,2-s2.0-85089561451,Multi-step ahead forecasting of daily reference evapotranspiration using deep learning,Ferreira L.B.,Computers and Electronics in Agriculture,01681699,,178,,2020-11-01,November 2020,10.1016/j.compag.2020.105728,S0168169920314034,11,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Vicosa', 'affiliation-city': 'Vicosa', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,105728,30441,0,False,,,,,
15,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85089180123', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85089180123?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089180123&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089180123&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0143622819312603'}",https://api.elsevier.com/content/abstract/scopus_id/85089180123,SCOPUS_ID:85089180123,2-s2.0-85089180123,"Spatial estimation of chronic respiratory diseases based on machine learning procedures—an approach using remote sensing data and environmental variables in quito, Ecuador",Alvarez-Mendoza C.I.,Applied Geography,01436228,,123,,2020-10-01,October 2020,10.1016/j.apgeog.2020.102273,S0143622819312603,2,"[{'@_fa': 'true', 'affilname': 'Universidad Politécnica Salesiana, Quito', 'affiliation-city': 'Quito', 'affiliation-country': 'Ecuador'}, {'@_fa': 'true', 'affilname': 'Universidade do Porto', 'affiliation-city': 'Porto', 'affiliation-country': 'Portugal'}]",Journal,ar,Article,102273,27471,0,False,,,,,
16,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85087280032', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85087280032?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087280032&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087280032&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0168169919326031'}",https://api.elsevier.com/content/abstract/scopus_id/85087280032,SCOPUS_ID:85087280032,2-s2.0-85087280032,Towards an integrated weed management decision support system: A simulation model for weed-crop competition and control,Molinari F.A.,Computers and Electronics in Agriculture,01681699,,175,,2020-08-01,August 2020,10.1016/j.compag.2020.105597,S0168169919326031,1,"[{'@_fa': 'true', 'affilname': 'Comision de Investigaciones Cientificas - La Plata', 'affiliation-city': 'La Plata', 'affiliation-country': 'Argentina'}, {'@_fa': 'true', 'affilname': 'Universidad Nacional del Sur', 'affiliation-city': 'Bahia Blanca', 'affiliation-country': 'Argentina'}]",Journal,ar,Article,105597,30441,0,False,,,,,
17,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85088793797', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85088793797?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088793797&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088793797&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85088793797,SCOPUS_ID:85088793797,2-s2.0-85088793797,Gear-Induced Concept Drift in Marine Images and Its Effect on Deep Learning Classification,Langenkämper D.,Frontiers in Marine Science,,22967745,7,,2020-07-14,14 July 2020,10.3389/fmars.2020.00506,,4,"[{'@_fa': 'true', 'affilname': 'Universität Bielefeld', 'affiliation-city': 'Bielefeld', 'affiliation-country': 'Germany'}]",Journal,ar,Article,506,21100790929,1,True,,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,
18,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85087474008', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85087474008?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087474008&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087474008&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85087474008,SCOPUS_ID:85087474008,2-s2.0-85087474008,Feature sensitivity criterion-based sampling strategy from the Optimization based on Phylogram Analysis (Fs-OPA) and Cox regression applied to mental disorder datasets,Kharrat F.G.Z.,PLoS ONE,,19326203,15,,2020-07-01,July 2020,10.1371/journal.pone.0235147,,0,"[{'@_fa': 'true', 'affilname': 'Universidade de São Paulo', 'affiliation-city': 'Sao Paulo', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,e0235147,10600153309,1,True,7,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",32609749,
19,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85087092701', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85087092701?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087092701&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087092701&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85087092701,SCOPUS_ID:85087092701,2-s2.0-85087092701,Assessment of Multi-Date Sentinel-1 Polarizations and GLCM Texture Features Capacity for Onion and Sunflower Classification in an Irrigated Valley: An Object Level Approach,Caballero G.R.,Agronomy,,20734395,10,,2020-06-01,June 2020,10.3390/agronomy10060845,,3,"[{'@_fa': 'true', 'affilname': 'University Blas Pascal', 'affiliation-city': 'Cordoba', 'affiliation-country': 'Argentina'}]",Journal,ar,Article,845,21100447811,1,True,6,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,
20,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85086805577', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85086805577?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086805577&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086805577&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85086805577,SCOPUS_ID:85086805577,2-s2.0-85086805577,Use of machine learning in evaluation of drought perception in irrigated agriculture: The case of an irrigated perimeter in Brazil,Xavier L.C.P.,Water (Switzerland),,20734441,12,,2020-06-01,1 June 2020,10.3390/W12061546,,3,"[{'@_fa': 'true', 'affilname': 'Universidade Federal do Ceará', 'affiliation-city': 'Fortaleza', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,1546,21100255400,1,True,6,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,
21,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85077645916', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85077645916?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077645916&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077645916&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0168192319305027'}",https://api.elsevier.com/content/abstract/scopus_id/85077645916,SCOPUS_ID:85077645916,2-s2.0-85077645916,Satellite-based soybean yield forecast: Integrating machine learning and weather data for improving crop yield prediction in southern Brazil,Schwalbert R.A.,Agricultural and Forest Meteorology,01681923,,284,,2020-04-15,15 April 2020,10.1016/j.agrformet.2019.107886,S0168192319305027,39,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Santa Maria', 'affiliation-city': 'Santa Maria', 'affiliation-country': 'Brazil'}, {'@_fa': 'true', 'affilname': 'Kansas State University', 'affiliation-city': 'Manhattan', 'affiliation-country': 'United States'}]",Journal,ar,Article,107886,12067,0,False,,,,,
22,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85098562427', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85098562427?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85098562427&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098562427&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85098562427,SCOPUS_ID:85098562427,2-s2.0-85098562427,Algorithms for forecasting cotton yield based on climatic parameters in Brazil,Aparecido L.E.O.,Archives of Agronomy and Soil Science,03650340,14763567,,,2020-01-01,2020,10.1080/03650340.2020.1864821,,0,"[{'@_fa': 'true', 'affilname': 'IFMS', 'affiliation-city': 'Coxim', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,,200147102,0,False,,,,,
23,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85091127328', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85091127328?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091127328&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091127328&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85091127328,SCOPUS_ID:85091127328,2-s2.0-85091127328,Forecasting beef production and quality using large-scale integrated data from Brazil,Aiken V.C.F.,Journal of Animal Science,00218812,15253163,98,,2020-01-01,2020,10.1093/JAS/SKAA089,,0,"[{'@_fa': 'true', 'affilname': 'University of Wisconsin-Madison', 'affiliation-city': 'Madison', 'affiliation-country': 'United States'}]",Journal,ar,Article,skaa089,35941,0,False,4,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",32201879,
24,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85071887541', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85071887541?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071887541&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071887541&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0016706119307530'}",https://api.elsevier.com/content/abstract/scopus_id/85071887541,SCOPUS_ID:85071887541,2-s2.0-85071887541,Assessing models for prediction of some soil chemical properties from portable X-ray fluorescence (pXRF) spectrometry data in Brazilian Coastal Plains,Andrade R.,Geoderma,00167061,,357,,2020-01-01,1 January 2020,10.1016/j.geoderma.2019.113957,S0016706119307530,12,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Lavras', 'affiliation-city': 'Lavras', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,113957,39112,0,False,,,,,
